Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
GPS,58030,59.338481,18.060785,0.35,0.00,6
GPS,58489,59.338482,18.060787,0.35,0.15,6
GPS,59026,59.338482,18.060787,0.39,0.15,6
GPS,59485,59.338485,18.060790,0.39,0.52,6
GPS,60032,59.338485,18.060790,1.20,0.52,6
GPS,60491,59.338487,18.060791,1.20,0.67,6
GPS,61028,59.338487,18.060791,0.98,0.67,6
GPS,61487,59.338487,18.060791,0.98,0.74,6
GPS,62034,59.338487,18.060791,0.46,0.74,6
GPS,62493,59.338489,18.060795,0.46,0.98,6
GPS,63030,59.338489,18.060795,0.44,0.98,6
GPS,63508,59.338498,18.060818,0.44,2.65,6
GPS,64045,59.338498,18.060818,4.94,2.65,6
GPS,64504,59.338508,18.060835,4.94,4.12,6
GPS,65051,59.338508,18.060835,4.72,4.12,6
GPS,65510,59.338515,18.060842,4.72,5.00,6
GPS,66047,59.338515,18.060842,3.43,5.00,6
GPS,66506,59.338521,18.060849,3.43,5.72,6
GPS,67043,59.338521,18.060849,2.82,5.72,6
GPS,67502,59.338526,18.060859,2.82,6.48,6
GPS,68049,59.338526,18.060859,2.63,6.48,6
GPS,68508,59.338529,18.060866,2.63,7.01,6
GPS,69055,59.338529,18.060866,1.78,7.01,6
GPS,69504,59.338533,18.060873,1.78,7.60,6
GPS,70051,59.338533,18.060873,1.22,7.60,6
IMU,57493,178,981,8,-6,-4,0
IMU,57502,177,979,8,-6,-4,0
IMU,57512,178,982,7,-6,-4,0
IMU,57522,176,984,4,-6,-4,0
IMU,57532,175,984,6,-6,-4,0
IMU,57541,176,983,6,-6,-4,0
IMU,57551,179,983,5,-6,-4,0
IMU,57561,180,982,6,-6,-4,0
IMU,57571,178,982,7,-6,-4,0
IMU,57581,176,982,5,-6,-4,0
IMU,57590,176,982,7,-6,-4,0
IMU,57600,177,982,5,-6,-4,0
IMU,57610,178,982,5,-6,-4,0
IMU,57620,177,981,7,-6,-4,0
IMU,57629,176,981,5,-6,-4,0
IMU,57639,179,983,8,-6,-4,0
IMU,57649,175,980,6,-6,-4,0
IMU,57659,175,981,8,-6,-4,0
IMU,57668,178,981,6,-6,-4,0
IMU,57678,177,982,8,-6,-4,0
IMU,57688,176,982,9,-6,-4,0
IMU,57698,176,981,7,-6,-4,0
IMU,57708,175,981,6,-6,-4,0
IMU,57717,178,980,8,-6,-4,0
IMU,57727,176,981,6,-6,-4,0
IMU,57737,177,981,6,-6,-4,0
IMU,57747,178,983,9,-6,-4,0
IMU,57756,177,981,6,-6,-4,0
IMU,57766,178,981,9,-6,-4,0
IMU,57776,178,982,9,-6,-4,0
IMU,57786,177,983,8,-6,-4,0
IMU,57795,176,982,9,-6,-4,0
IMU,57805,178,982,6,-6,-4,0
IMU,57815,177,980,5,-6,-4,0
IMU,57825,177,981,8,-6,-4,0
IMU,57834,177,982,7,-6,-4,0
IMU,57844,176,982,7,-6,-4,0
IMU,57854,176,982,6,-6,-4,0
IMU,57864,176,984,6,-6,-4,0
IMU,57874,177,983,8,-6,-4,0
IMU,57883,176,982,7,-6,-4,0
IMU,57893,178,983,6,-6,-4,0
IMU,57903,177,981,5,-6,-4,0
IMU,57913,176,982,9,-6,-4,0
IMU,57922,175,981,7,-6,-4,0
IMU,57932,176,983,7,-6,-4,0
IMU,57942,179,984,7,-6,-4,0
IMU,57952,178,982,8,-6,-4,0
IMU,57961,177,980,5,-6,-4,0
IMU,57971,176,980,4,-6,-4,0
IMU,57981,176,982,4,-6,-4,0
IMU,57991,177,982,7,-6,-4,0
IMU,58000,178,981,8,-6,-4,0
IMU,58010,178,982,9,-6,-4,0
IMU,58020,177,983,7,-6,-4,0
IMU,58030,177,983,6,-6,-4,0
IMU,58040,178,981,4,-6,-4,0
IMU,58049,176,982,8,-6,-4,0
IMU,58059,175,981,2,-6,-4,0
IMU,58069,174,981,6,-6,-4,0
IMU,58079,175,980,7,-6,-4,0
IMU,58088,177,982,6,-6,-4,0
IMU,58098,175,981,6,-6,-4,0
IMU,58108,176,982,4,-6,-4,0
IMU,58118,175,981,6,-6,-4,0
IMU,58127,177,982,7,-6,-4,0
IMU,58137,175,981,5,-6,-4,0
IMU,58147,178,983,6,-6,-4,0
IMU,58157,176,982,7,-6,-4,0
IMU,58166,178,980,8,-6,-4,0
IMU,58176,177,981,7,-6,-4,0
IMU,58186,177,981,6,-6,-4,0
IMU,58196,178,983,2,-6,-4,0
IMU,58206,176,981,5,-6,-4,0
IMU,58215,176,981,7,-6,-4,0
IMU,58225,175,982,4,-6,-4,0
IMU,58235,176,980,7,-6,-4,0
IMU,58245,178,980,8,-6,-4,0
IMU,58254,179,982,8,-6,-4,0
IMU,58264,178,982,8,-6,-4,0
IMU,58274,176,982,6,-6,-4,0
IMU,58284,176,983,5,-6,-4,0
IMU,58293,176,982,6,-6,-4,0
IMU,58303,177,982,6,-6,-4,0
IMU,58313,176,982,4,-6,-4,0
IMU,58323,177,982,6,-6,-4,0
IMU,58333,175,982,9,-6,-4,0
IMU,58342,176,983,7,-6,-4,0
IMU,58352,176,981,5,-6,-4,0
IMU,58362,175,981,11,-6,-4,0
IMU,58372,176,984,9,-6,-4,0
IMU,58381,177,981,11,-6,-4,0
IMU,58391,178,983,6,-6,-4,0
IMU,58401,177,982,5,-6,-4,0
IMU,58411,179,982,5,-6,-4,0
IMU,58420,177,980,4,-6,-4,0
IMU,58430,178,982,7,-6,-4,0
IMU,58440,177,983,8,-6,-4,0
IMU,58450,176,983,8,-6,-4,0
IMU,58459,178,982,7,-6,-4,0
IMU,58469,178,982,9,-6,-4,0
IMU,58479,177,982,11,-6,-4,0
IMU,58489,176,984,9,-6,-4,0
IMU,58499,179,984,8,-6,-4,0
IMU,58508,176,982,5,-6,-4,0
IMU,58518,177,982,6,-6,-4,0
IMU,58528,178,984,6,-6,-4,0
IMU,58538,179,984,7,-6,-4,0
IMU,58547,176,983,7,-6,-4,0
IMU,58557,177,981,6,-6,-4,0
IMU,58567,178,981,6,-6,-4,0
IMU,58577,177,980,6,-6,-4,0
IMU,58586,176,983,8,-6,-4,0
IMU,58596,175,983,7,-6,-4,0
IMU,58606,175,980,7,-6,-4,0
IMU,58616,178,982,8,-6,-4,0
IMU,58625,179,983,8,-6,-4,0
IMU,58635,178,983,8,-6,-4,0
IMU,58645,178,983,8,-6,-4,0
IMU,58655,177,981,7,-6,-4,0
IMU,58665,176,981,8,-6,-4,0
IMU,58674,177,980,8,-6,-4,0
IMU,58684,176,980,9,-6,-4,0
IMU,58694,177,981,6,-6,-4,0
IMU,58704,177,981,7,-6,-4,0
IMU,58713,177,982,8,-6,-4,0
IMU,58723,178,982,9,-6,-4,0
IMU,58733,177,983,10,-6,-4,0
IMU,58743,178,982,4,-6,-4,0
IMU,58752,176,982,7,-6,-4,0
IMU,58762,175,981,5,-6,-4,0
IMU,58772,176,983,6,-6,-4,0
IMU,58782,178,980,8,-6,-4,0
IMU,58791,177,980,5,-6,-4,0
IMU,58801,175,981,5,-6,-4,0
IMU,58811,176,982,6,-6,-4,0
IMU,58821,176,981,7,-6,-4,0
IMU,58831,176,982,6,-6,-4,0
IMU,58840,178,985,6,-6,-4,0
IMU,58850,177,982,6,-6,-4,0
IMU,58860,177,982,6,-6,-4,0
IMU,58870,178,981,7,-6,-4,0
IMU,58879,178,981,7,-6,-4,0
IMU,58889,177,981,5,-6,-4,0
IMU,58899,177,980,6,-6,-4,0
IMU,58909,176,980,6,-6,-4,0
IMU,58918,176,981,8,-6,-4,0
IMU,58928,176,981,8,-6,-4,0
IMU,58938,176,982,8,-6,-4,0
IMU,58948,176,979,8,-6,-4,0
IMU,58958,177,980,6,-6,-4,0
IMU,58967,176,981,5,-6,-4,0
IMU,58977,177,983,5,-6,-4,0
