Type,Millis,Lat,Lon,Speed_kmh,Dist_m,Sats,HDOP,Alt_m,Course_deg
IMU,72363,-320,-106,999,-11,-7,3
IMU,72373,-302,-114,997,-12,-5,3
IMU,72382,-287,-117,994,-13,-1,3
IMU,72392,-279,-118,996,-14,2,3
IMU,72402,-280,-118,991,-15,6,3
IMU,72412,-284,-114,987,-17,9,2
IMU,72421,-292,-113,984,-18,11,1
IMU,72431,-298,-118,991,-21,12,0
IMU,72441,-291,-123,997,-22,13,0
IMU,72451,-292,-137,1002,-23,13,-2
IMU,72460,-298,-152,1016,-24,14,-4
IMU,72470,-308,-167,1018,-23,15,-5
IMU,72480,-318,-175,1026,-22,15,-6
IMU,72490,-324,-177,1029,-20,15,-6
IMU,72500,-323,-183,1026,-18,14,-7
IMU,72509,-330,-183,1030,-16,14,-7
IMU,72519,-338,-175,1036,-14,14,-7
IMU,72529,-348,-169,1034,-12,14,-6
IMU,72539,-364,-163,1032,-11,13,-4
IMU,72548,-365,-159,1021,-11,12,-3
IMU,72558,-369,-158,1013,-11,9,-2
IMU,72568,-367,-165,1017,-11,7,-2
IMU,72578,-344,-170,1034,-11,4,-2
IMU,72587,-327,-164,1020,-10,3,-2
IMU,72597,-320,-166,1033,-8,2,-3
IMU,72607,-322,-158,1007,-7,1,-3
IMU,72617,-335,-155,1000,-6,0,-4
IMU,72626,-349,-156,990,-5,-1,-5
IMU,72636,-360,-153,973,-4,-4,-5
IMU,72646,-367,-152,972,-5,-7,-5
IMU,72656,-367,-153,975,-5,-8,-3
IMU,72666,-370,-163,980,-6,-9,-2
IMU,72675,-364,-166,990,-6,-8,0
IMU,72685,-364,-164,977,-6,-7,2
IMU,72695,-362,-161,977,-6,-8,4
IMU,72705,-358,-152,965,-6,-9,4
IMU,72714,-345,-149,966,-6,-11,5
IMU,72724,-324,-147,975,-7,-13,4
IMU,72734,-308,-151,984,-7,-14,2
IMU,72744,-302,-155,994,-7,-13,1
IMU,72753,-309,-157,997,-7,-12,0
IMU,72763,-326,-159,991,-7,-11,0
IMU,72773,-342,-164,989,-7,-11,-1
IMU,72783,-350,-168,986,-7,-12,-1
IMU,72792,-349,-166,984,-7,-12,-1
IMU,72802,-337,-165,990,-6,-11,0
IMU,72812,-321,-162,997,-6,-9,0
IMU,72822,-310,-159,997,-6,-8,0
IMU,72832,-309,-155,1003,-6,-7,0
IMU,72841,-311,-152,998,-7,-6,0
IMU,72851,-316,-152,1000,-7,-7,0
IMU,72861,-313,-155,1005,-8,-7,0
IMU,72871,-324,-159,1002,-8,-7,-1
IMU,72880,-334,-163,1017,-7,-8,-1
IMU,72890,-336,-167,1017,-7,-7,0
IMU,72900,-334,-173,1025,-6,-6,0
IMU,72910,-334,-174,1026,-5,-5,0
IMU,72919,-335,-173,1024,-4,-5,0
IMU,72929,-340,-172,1020,-3,-4,0
IMU,72939,-340,-168,1014,-3,-5,0
IMU,72949,-341,-164,1011,-2,-5,0
IMU,72958,-337,-161,1014,-2,-5,0
IMU,72968,-332,-158,1020,-2,-5,0
IMU,72978,-335,-153,1019,-2,-5,0
IMU,72988,-334,-157,1024,-2,-5,-1
IMU,72998,-335,-150,1018,-2,-4,-1
IMU,73007,-332,-146,1009,-1,-4,-1
IMU,73017,-329,-146,1006,-2,-4,-1
IMU,73027,-329,-150,1014,-1,-4,-1
IMU,73037,-331,-155,1027,-1,-3,-2
IMU,73046,-331,-147,1033,0,-3,-2
IMU,73056,-358,-164,1031,2,-2,-4
IMU,73066,-356,-158,1014,2,-5,-1
IMU,73076,-348,-155,1027,3,-6,0
IMU,73085,-335,-155,1022,4,-7,1
IMU,73095,-336,-138,1004,5,-7,2
IMU,73105,-329,-134,990,4,-8,2
IMU,73115,-323,-125,983,3,-9,2
IMU,73125,-320,-127,986,2,-10,1
IMU,73134,-315,-132,986,0,-9,1
IMU,73144,-317,-136,984,0,-8,0
IMU,73154,-329,-140,985,-2,-7,0
IMU,73164,-336,-141,973,-2,-7,0
IMU,73173,-337,-143,973,-3,-7,0
IMU,73183,-331,-141,969,-4,-6,0
IMU,73193,-323,-137,962,-5,-4,1
IMU,73203,-324,-141,973,-7,-2,1
IMU,73212,-323,-144,984,-9,-1,1
IMU,73222,-324,-150,984,-10,0,2
IMU,73232,-330,-152,991,-10,0,2
IMU,73242,-331,-152,986,-10,0,1
IMU,73251,-327,-151,981,-10,0,1
IMU,73261,-325,-152,986,-11,0,1
IMU,73271,-327,-152,983,-12,0,2
IMU,73281,-332,-158,988,-13,1,2
IMU,73291,-335,-163,994,-13,1,3
IMU,73300,-324,-164,1021,-13,0,3
IMU,73310,-320,-168,1025,-11,0,3
IMU,73320,-320,-169,1023,-9,0,2
IMU,73330,-319,-164,1014,-8,0,2
IMU,73339,-317,-151,997,-8,-1,1
IMU,73349,-326,-155,1002,-8,-1,1
IMU,73359,-337,-154,1006,-8,-3,0
IMU,73369,-340,-155,1013,-8,-4,0
IMU,73378,-338,-157,1024,-7,-4,1
IMU,73388,-339,-155,1022,-6,-3,2
IMU,73398,-343,-157,1021,-6,-3,3
