Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,30352,9,754,753,-7,-5,1
IMU,30362,8,745,746,-6,-4,1
IMU,30372,-9,747,734,-8,-5,2
IMU,30381,17,758,736,-6,-6,3
IMU,30391,-21,756,744,-7,-6,3
IMU,30401,-8,753,725,-6,-7,4
IMU,30411,65,757,760,-7,-7,3
IMU,30420,36,739,733,-5,-5,2
IMU,30430,4,757,744,-7,-5,1
IMU,30440,-28,756,706,-6,-5,1
IMU,30450,-44,763,734,-7,-6,2
IMU,30459,-8,750,716,-6,-7,3
IMU,30469,-27,755,742,-7,-6,2
IMU,30479,-7,753,702,-7,-5,2
IMU,30489,-13,765,767,-6,-4,0
IMU,30499,-18,763,696,-6,-4,0
IMU,30508,-22,771,717,-6,-3,0
IMU,30518,-14,762,728,-6,-2,-1
IMU,30528,-16,776,741,-6,-1,-2
IMU,30538,8,806,692,-6,0,-2
IMU,30547,-7,757,703,-4,0,-3
IMU,30557,-31,761,782,-6,1,-4
IMU,30567,-13,737,685,-5,0,-4
IMU,30577,-14,744,803,-4,0,-4
IMU,30586,-27,750,662,-7,1,-5
IMU,30596,-37,767,752,-2,0,-4
IMU,30606,-50,748,675,-7,0,-4
IMU,30616,-40,742,720,-2,-1,-2
IMU,30625,-44,731,724,-7,-1,-3
IMU,30635,-14,722,720,-4,0,-3
IMU,30645,-11,729,761,-7,0,-3
IMU,30655,-39,728,686,-4,0,-3
IMU,30665,-40,736,747,-7,-1,-2
IMU,30674,1,744,721,-6,-1,-2
IMU,30684,28,752,764,-6,0,-2
IMU,30694,22,742,710,-5,0,-3
IMU,30704,-3,750,725,-5,0,-4
IMU,30713,-4,745,719,-6,0,-3
IMU,30723,6,749,743,-5,0,-3
IMU,30733,18,744,729,-5,0,-4
IMU,30743,12,743,725,-5,0,-4
IMU,30752,-18,738,714,-6,0,-4
IMU,30762,-41,747,726,-6,0,-2
IMU,30772,-17,742,714,-6,-2,-1
IMU,30782,9,744,714,-6,-2,0
IMU,30791,16,743,706,-6,-1,0
