Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
GPS,36174,59.361482,18.049808,0.00,0.00,5
GPS,36227,59.361482,18.049808,0.00,0.00,5
GPS,36270,59.361482,18.049808,0.00,0.00,5
GPS,36345,59.361482,18.049808,0.00,0.00,5
GPS,36416,59.361482,18.049808,0.00,0.00,5
GPS,36475,59.361482,18.049808,0.00,0.00,5
GPS,36529,59.361482,18.049808,0.00,0.00,5
GPS,36606,59.361482,18.049808,0.04,0.00,5
GPS,36645,59.361482,18.049808,0.04,0.00,5
GPS,36685,59.361482,18.049808,0.04,0.00,5
GPS,36717,59.361482,18.049808,0.04,0.00,5
GPS,37097,59.361481,18.049807,0.04,0.09,5
GPS,37152,59.361481,18.049807,0.04,0.09,5
GPS,37206,59.361481,18.049807,0.04,0.09,5
GPS,37249,59.361481,18.049807,0.04,0.09,5
GPS,37323,59.361481,18.049807,0.04,0.09,5
GPS,37394,59.361481,18.049807,0.04,0.09,5
GPS,37454,59.361481,18.049807,0.04,0.09,5
GPS,37507,59.361481,18.049807,0.04,0.09,5
GPS,37584,59.361481,18.049807,0.09,0.09,5
GPS,37624,59.361481,18.049807,0.09,0.09,5
GPS,37664,59.361481,18.049807,0.09,0.09,5
GPS,37696,59.361481,18.049807,0.09,0.09,5
GPS,38101,59.361480,18.049805,0.09,0.26,6
GPS,38156,59.361480,18.049805,0.09,0.26,6
IMU,36139,223,935,317,-6,-4,0
IMU,36159,223,943,326,-6,-4,1
IMU,36179,231,935,328,-6,-4,1
IMU,36199,217,940,328,-6,-4,0
IMU,36219,204,934,321,-6,-4,0
IMU,36239,209,936,315,-6,-4,1
IMU,36259,218,959,314,-6,-4,1
IMU,36279,226,959,313,-6,-4,1
IMU,36299,231,960,311,-6,-4,1
IMU,36319,218,951,304,-6,-4,1
IMU,36339,238,945,298,-6,-5,2
IMU,36359,227,948,302,-6,-4,2
IMU,36379,226,947,305,-6,-4,1
IMU,36399,228,943,306,-6,-4,1
IMU,36419,221,944,306,-6,-4,1
IMU,36439,226,943,309,-6,-4,1
IMU,36459,235,957,316,-6,-4,1
IMU,36479,240,962,321,-6,-4,0
IMU,36499,247,948,314,-6,-4,0
IMU,36519,242,933,305,-6,-4,-1
IMU,36539,222,927,301,-6,-4,-1
IMU,36559,229,949,301,-6,-4,-1
IMU,36579,218,970,305,-6,-4,-1
IMU,36599,220,968,301,-5,-4,-1
IMU,36619,215,956,304,-6,-4,-1
IMU,36639,205,945,306,-6,-4,0
IMU,36659,216,953,316,-6,-4,0
IMU,36679,228,948,319,-6,-4,0
IMU,36699,210,931,317,-6,-4,0
IMU,36719,210,925,313,-6,-4,0
IMU,36739,208,933,321,-6,-4,2
IMU,36759,213,962,329,-6,-5,2
IMU,36779,213,969,328,-6,-5,2
IMU,36799,204,954,321,-6,-5,2
